disruption_type,industry,supplier_tier,supplier_region,supplier_size,has_backup_supplier,disruption_severity,production_impact_pct,revenue_loss_usd,response_type,response_time_days,partial_recovery_days,full_recovery_days,permanent_supplier_change,severity_impact
Factory Incident,Pharmaceuticals,1,Asia-Pacific,Large,0,2,54.3,11376013.16,Customer Delay,14,3,59,0,108.6
Cyber Attack,Electronics,2,Asia-Pacific,Medium,1,4,52.4,1199054.59,Alternative Supplier,1,29,97,1,209.6
Port Congestion,Electronics,1,Asia-Pacific,Small,1,2,32.4,228848.77,Alternative Supplier,1,18,67,1,64.8
Labor Strike,Electronics,2,Europe,Large,1,1,15.7,2257287.82,Alternative Supplier,1,18,36,0,15.7
Geopolitical,Electronics,1,South America,Medium,1,2,32.9,965588.44,Alternative Supplier,7,11,61,1,65.8
Geopolitical,Pharmaceuticals,1,Asia-Pacific,Small,0,2,25.4,597508.89,Production Reroute,1,15,40,0,50.8
Natural Disaster,Consumer Goods,2,Europe,Medium,0,3,45.9,191433.87,Inventory Buffer,5,14,58,0,137.7
Cyber Attack,Consumer Goods,3,Asia-Pacific,Large,1,4,38.2,3097218.68,Combined Strategy,1,35,92,1,152.8
Port Congestion,Electronics,2,Europe,Medium,0,3,29.9,376504.46,Customer Delay,10,133,228,0,89.69999999999999
Port Congestion,Electronics,1,Asia-Pacific,Large,0,3,55.1,13234325.81,Production Reroute,29,22,103,0,165.3
Natural Disaster,Automotive,1,North America,Large,1,2,31.6,685491.74,Combined Strategy,5,31,40,0,63.2
Cyber Attack,Consumer Goods,1,Europe,Medium,1,4,57.0,498034.77,Combined Strategy,2,77,164,1,228.0
Port Congestion,Automotive,1,North America,Large,1,2,25.8,1368252.83,Alternative Supplier,1,10,80,1,51.6
Geopolitical,Electronics,1,North America,Large,0,2,22.9,1107318.15,Production Reroute,1,12,20,1,45.8
Geopolitical,Automotive,1,Asia-Pacific,Small,0,2,29.0,208865.5,Customer Delay,1,9,74,0,58.0
Geopolitical,Pharmaceuticals,2,Europe,Large,1,2,33.9,11474580.44,Combined Strategy,1,18,80,1,67.8
Geopolitical,Electronics,3,Europe,Small,0,1,7.8,32362.44,Production Reroute,1,35,62,0,7.8
Labor Strike,Electronics,3,Europe,Medium,1,2,34.9,542817.81,Alternative Supplier,1,6,17,0,69.8
Factory Incident,Electronics,1,Asia-Pacific,Large,0,3,34.9,7631702.06,Combined Strategy,4,36,94,1,104.69999999999999
Geopolitical,Automotive,1,Africa/Middle East,Medium,1,2,47.1,1281579.65,Alternative Supplier,2,4,34,0,94.2
Port Congestion,Consumer Goods,3,Asia-Pacific,Small,1,3,16.3,41748.06,Alternative Supplier,1,41,72,0,48.900000000000006
Natural Disaster,Electronics,2,Asia-Pacific,Medium,1,3,42.4,856829.71,Alternative Supplier,4,56,92,0,127.19999999999999
Geopolitical,Pharmaceuticals,4,Europe,Medium,0,3,28.0,2308568.69,Alternative Supplier,25,50,70,1,84.0
Factory Incident,Consumer Goods,2,Asia-Pacific,Medium,0,3,36.7,930188.1,Inventory Buffer,4,48,100,0,110.10000000000001
Labor Strike,Automotive,1,Africa/Middle East,Large,1,2,9.9,884590.87,Alternative Supplier,4,7,36,0,19.8
Port Congestion,Electronics,1,Asia-Pacific,Medium,1,1,9.6,55353.4,Customer Delay,3,3,28,0,9.6
Geopolitical,Automotive,4,North America,Medium,1,1,26.2,679010.51,Alternative Supplier,2,6,23,1,26.2
Labor Strike,Aerospace,1,North America,Medium,0,2,21.0,2219496.95,Inventory Buffer,4,30,85,1,42.0
Labor Strike,Electronics,1,North America,Small,0,1,14.8,144280.2,Customer Delay,1,4,17,0,14.8
Natural Disaster,Automotive,1,North America,Large,1,4,60.6,3164737.45,Alternative Supplier,1,57,135,1,242.4
Port Congestion,Pharmaceuticals,2,Asia-Pacific,Small,0,2,10.0,365327.3,Inventory Buffer,25,44,139,0,20.0
Geopolitical,Electronics,2,Asia-Pacific,Small,0,4,60.2,262317.35,Combined Strategy,8,38,149,0,240.8
Natural Disaster,Consumer Goods,3,Asia-Pacific,Large,0,3,33.7,1374852.2,Combined Strategy,3,15,116,1,101.10000000000001
Cyber Attack,Consumer Goods,2,North America,Large,0,5,68.7,3934439.3,Combined Strategy,1,31,203,1,343.5
Cyber Attack,Aerospace,2,Asia-Pacific,Large,1,1,20.0,16652108.5,Customer Delay,3,18,37,1,20.0
Port Congestion,Automotive,3,Europe,Medium,0,2,19.1,334511.27,Production Reroute,2,5,33,0,38.2
Geopolitical,Automotive,2,Africa/Middle East,Large,1,4,67.4,4941420.8,Alternative Supplier,10,79,199,0,269.6
Natural Disaster,Aerospace,2,Asia-Pacific,Large,1,2,17.1,7316992.15,Inventory Buffer,1,27,71,0,34.2
Port Congestion,Aerospace,4,Africa/Middle East,Medium,1,2,14.7,716241.21,Alternative Supplier,2,13,37,0,29.4
Factory Incident,Electronics,2,Europe,Small,0,4,56.3,1419851.59,Combined Strategy,7,39,102,1,225.2
Natural Disaster,Electronics,2,Europe,Medium,0,3,46.7,1621816.17,Inventory Buffer,1,71,177,1,140.10000000000002
Labor Strike,Electronics,2,North America,Medium,0,2,42.6,538825.36,Production Reroute,9,39,70,1,85.2
Natural Disaster,Consumer Goods,3,North America,Small,1,2,21.2,85377.65,Alternative Supplier,1,9,20,0,42.4
Cyber Attack,Consumer Goods,1,Asia-Pacific,Medium,0,4,57.8,667362.36,Combined Strategy,2,8,74,1,231.2
Geopolitical,Automotive,3,Europe,Medium,1,3,58.9,2513221.6,Alternative Supplier,4,4,11,0,176.7
Port Congestion,Electronics,3,Africa/Middle East,Medium,1,3,35.3,987494.9,Alternative Supplier,1,24,212,0,105.89999999999999
Geopolitical,Automotive,3,Europe,Medium,1,3,37.8,1973706.21,Alternative Supplier,2,12,44,0,113.39999999999999
Labor Strike,Automotive,2,South America,Large,1,2,27.3,6188944.38,Alternative Supplier,1,25,73,0,54.6
Labor Strike,Automotive,1,Asia-Pacific,Medium,0,2,19.0,755744.16,Inventory Buffer,2,6,132,0,38.0
Geopolitical,Automotive,3,North America,Large,1,2,29.6,608358.84,Alternative Supplier,1,3,15,0,59.2
Cyber Attack,Automotive,4,Europe,Medium,1,2,33.9,512380.97,Alternative Supplier,2,24,38,0,67.8
Port Congestion,Electronics,3,Asia-Pacific,Small,0,4,26.3,160613.6,Inventory Buffer,5,98,113,1,105.2
Cyber Attack,Automotive,4,Asia-Pacific,Large,0,4,14.3,3796527.09,Production Reroute,4,93,175,0,57.2
